Название,Кр. описание,Описание,Адрес,Шир.,Долг.,ID на старом сайте
Марийская священная роща Цепельская, Марийская священная роща Цепельская,"Организован: распоряжением Администрации Нижегородской области от 13 сентября 1996 года № 1236-р. Паспорт утвержден тем же распоряжением.Местоположение: от районного центра р.п. Воротынец к северо-востоку 13 км, от юго-восточной окраины р.п. Васильсурск к юго-востоку 0,4 км.Площадь памятника природы: 0,4 га.Назначение: охрана ценофонда (биоценозы водораздельных дубрав), историческое, культурное, культовое, эстетическое, водоохранное.Пользователи, владельцы и собственники земель: Михайловский лесхоз (Воротынское лесничество), Васильсурская поселковая администрация.Марийское природное святилище представляет собою дубраву. Первый ярус древостоя образован дубом, липой, березой. Средняя высота 18–20 м, встречаются экземпляры березы и дуба до 25 м. Диаметр ствола дуба – 0,6–0,8 м, липы и березы 0,5–0,6 м, возраст дуба 100–130 лет, липы 80–100 лет, березы 70–120 лет. В травостое присутствуют виды, характерные для дубрав, преобладает сныть обыкновенная. Территория имеет перепад высот до 20 м, спускается с южной экспозицией к ручью Пономареву. В центре памятника природы расположен ключ Супротивный, являющийся местом поклонения горных мари. Подходы к ключу благоустроены, сделана лестница. Дебит источника – 10 л/мин. По работам краеведа и этнографа начала ХХ в. Н.Н. Оглоблина известно, что дубрава считалась резиденцией верховного бога горных мари Кугу Юмо и была главным святилищем столицы горных мари Цепеля, существовавшей до ХVI в. Дубрава оставалась главным местом поклонения всех горных мари в начале ХХ века и остается таковым по сей день. Моления в ней совершаются приходящими с территории Марий-Эл паломниками в ночь на 11 сентября.",Марийская священная роща Цепельская,56.1271,46.0406,1482
Садово-парковый ландшафт р.п. Васильсурск, Садово-парковый ландшафт р.п. Васильсурск,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 20 октября 1965 года № 915.Местоположение: от районного центра р.п. Воротынец к северо-востоку 12 км, в р.п. Васильсурск.Площадь памятника природы: 42,0 га.Назначение: рекреационное.Пользователи, владельцы и собственники земель: Васильсурская поселковая администрация.Памятник природы представляет собой живописный садово-парковый ландшафт на склоне высокого правого коренного берега р. Волги и Суры. Он включает мемориальные места – знаменитый Шишкин мыс с беседкой, окруженной старыми липами, где писал свои пейзажи И.И. Шишкин, видовую площадку Орлиное гнездо – любимое место отдыха А.М. Горького. Здесь среди вековых деревьев и декоративных кустарников установлен памятник писателю. В 1930-е годы был создан парк из регулярно посаженных берез. Место отдыха.",Садово-парковый ландшафт р.п. Васильсурск,56.1291,45.9993,1483
Парк п. Красная Горка, Парк п. Красная Горка,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от14 февраля 1984 года № 56.Местоположение: от районного центра р.п. Воротынец к юго-западу 16 км, в п. Красная горка.Площадь памятника природы: 2,5 га.Назначение: историческое; рекреационное.Режим охраны: необходимо сохранить парк и зеленый массив, провести благоустройство, расчистку от чахлой поросли, сорной растительности.Пользователи, владельцы и собственники земель: Красногорская сельская администрация.Основные объекты охраны: старинный усадебный пейзажный парк.Памятник природы представляет собой старинный усадебный пейзажный парк. Этот небольшой зеленый массив занимает ровный участок и западный склон, обращенный к реке Имзе. Когда-то эти места принадлежали князьям Оболенским. В центре парка разместился хорошо сохранившийся каменный дом из красного кирпича. Парк представляет собой полукруглую поляну в окружении восьми вековых дубов. Поляна обращена к главному фасаду, в центре ее находится фонтан. Очень украшают парк группы лип по 5–6 деревьев, посаженные при входе. Ценная коллекция местных и интродуцированных древесно-кустарниковых пород включает ель колючую, тую западную, пихту сибирскую, ель обыкновенную, клен, ясень, дуб и другие деревья. Возраст деревьев около 200 лет, высота – 20–25 метров.",Парк п. Красная Горка,56.0015,45.6049,1484
Парк с.Быковка, Парк с.Быковка,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 14 февраля 1984 года № 56.Местоположение: от районного центра р.п. Воротынец юго-западу 13 км, в с. Быковка.Площадь памятника природы: 6,0 га.Назначение: историческое; рекреационное.Режим охраны: сохранить насаждения в букетных посадках, аллеях, отдельных массивах сосен и берез. Пользователи, владельцы и собственники земель: Красногорская сельская администрация.Памятник природы представляет собой старинный пейзажный парк, входивший в состав усадьбы промышленника Демидова. Живописный ландшафт с террасированным склоном, с прудом, родником, разнообразием местных древесных пород и некоторых интродуцентов. Эстетическую выразительность парка во многом определяет его рельеф. Усадьба и парк занимают пологий южный склон, обращенный к реке Урге. В парке сохранилась 350-метровая подъездная липовая аллея шириной 8 м. На западном склоне, обращенном к пруду, располагается аллея из огромных серебристых тополей с диаметром ствола до полутора метров. Здесь же недалеко бьет родник с очень вкусной водой, около него стоит деревянная часовенка. Место отдыха.",Парк с.Быковка,55.9832,45.6703,1485
Парк с. Покров-Майдан, Парк с. Покров-Майдан,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 14 февраля 1984 года № 56.Местоположение: от районного центра р.п. Воротынец к юго-западу 11 км, в с. Покров-Майдан.Площадь памятника природы: 2,5 га.Назначение: историческое; рекреационное.Пользователи, владельцы и собственники земель: Покров-Майданская сельская администрация.Памятник природы представляет собой парковый ансамбль XIX века с домом, церковью, хозяйственными постройками и двумя прудами, который принадлежал некогда заводчикам Демидовым. Сохранились старые ели и тополя. Место отдыха и учебно-культурных мероприятий.",Парк с. Покров-Майдан,55.9633,45.797,1486
Озеро Светлояр, Озеро Светлояр,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 20 октября 1965 года № 915. Паспорт на памятник утвержден распоряжением Администрации Нижегородской области от 01 ноября 1995 года № 1469-р. Постановлением Правительства РФ от 27 декабря 1997 года № 1626 озеро Светлояр объявлено памятником природы федерального значения.Местоположение: от р.п. Воскресенское на запад 23 км, от с. Владимирское на запад 1 км.Площадь памятника природы: 12,0 га, площадь охранной зоны 47,0 га.Назначение: охрана генофонда (место обитания редких видов растений и животных); охрана ценофонда (представлены типичные биоценозы водораздельных озер); научное (ботаническое, зоологическое, геологическое, геоморфологическое, гидрологическое, гидрохимическое, историческое и др.); водоохранное; историко-культурное; рекреационное; эстетическое; культовое.Пользователи, владельцы и собственники земель: администрация Воскресенского района.Единственный в Нижегородской области памятник природы федерального значения создан для охраны уникального озера. С этим озером связана легенда о граде Китеже, ушедшем под воду во время нашествия войск хана Батыя. Легенда послужила основой для создания многих произведений выдающихся отечественных писателей, поэтов, художников. От села Владимирское к озеру ведет березовая аллея. Голубое око Светлояра, отражающее «ресницы» вековых деревьев на берегах, открывается неожиданно. Сочетание низких заболоченных берегов и высокого холма, покрытого могучим лесом, изумрудные ковры полян, деревянная церковь очень живописны. Округлое озеро расположено в правобережье р. Люнды и питается родниковыми водами. Уровень воды в озере постоянный. Вода необычайно чиста и прозрачна, ее температура в нижних слоях составляет 3–4 градуса Цельсия. Глубина озера достигает 30 метров. Происхождение озера до сих пор точно не установлено: В.В. Докучаев (1886) относил его к карстовым, С.С. Станков (1951) – к озерам смешанного происхождения. Имеются гипотезы об эоловом происхождение озера, а также о том, что его образование связано с пересечением двух глубинных разломов земной коры. В последние десятилетия выдвинута также гипотеза метеоритного происхождения Светлояра. По-своему уникальны и интересны водные, болотные и лесные экосистемы памятника природы, сохраняющие целый комплекс редких видов живых организмов. В водах озера обитает особый, типичный для северных водоемов, комплекс видов коловраток, участвующих в очищении воды. Только в чистых холодных водах могут жить встречающиеся здесь инфузории стокезия, спиростомум и бурсария, занесенные в Красную книгу Нижегородской области. С глубины 2–3 метра поднимаются к поверхности стебли рдеста длиннейшего (Красная книга Нижегородской области). На заболоченных участках берегов озера растет северный кустарник ива лапландская (Красная книга Нижегородской области). Здесь обнаружена маленькая невзрачная болотная орхидея лосняк Лезеля – редчайшая в нашей области и занесенная в Красную книгу России. Сразу после схода снега на высоком склоне западного берега раскрываются нежные ярко-голубые цветы печеночницы благородной (Красная книга Нижегородской области). Тропа по берегу озера покрыта деревянным настилом для удобства многочисленных посетителей и сохранения берегов от вытаптывания, поскольку Светлояр – место активного паломничества христиан и популярный объект туризма.",Озеро Светлояр,56.8182,45.0944,1487
"Природный парк регионального (областного) значения ""Воскресенское Поветлужье"""," Природный парк регионального (областного) значения ""Воскресенское Поветлужье""","Организован: постановлением Правительства Нижегородской области от 10 июня 2008 года № 232 «Об образовании природного парка регионального (областного) значения «Воскресенское Поветлужье», утверждении его площади и положения».Местоположение: Нижегородская область, Воскресенский район, пойма р.Ветлуги от с.Медведиха до д. Томилиха.Общая площадь природного парка: 34983,02 га, в том числе: участок 1 – 26451,16 га (природоохранная зона – 4032,47 га, рекреационная зона – 5953,17 га, зона ограниченного хозяйственного использования – 16465,52 га); участок 2 – 8531,86 га (природоохранная зона – 935,63 га, рекреационная зона – 7596,23 га).Назначение: охрана ценофонда (уникальные для европейской части России природные сообщества); охрана генофонда (места обитания редких видов живых организмов); научное (зоологическое, ботаническое, геологическое); водоохранное (для р.Ветлуги и ее притоков); рекреационное; экологопросветительское; лесовосстановительное.Пользователи, владельцы и собственники земель: Воскресенское районное лесничество, сельхозформирвоания, органы местного самоуправления.В состав природного парка вошла пойма реки Ветлуги в пределах Воскресенского района, а также территория, прилегающая к памятнику природы «Озеро Светлояр». Природный парк создан с целью:– сохранения природной среды и биологического разнообразия в бассейне реки Ветлуги, уникальных и ценных природных объектов, комплексов и ландшафтов;– создания условий для отдыха (в том числе массового) и сохранения рекреационных ресурсов;– разработки и внедрения эффективных методов охраны природы и поддержания экологического баланса в условиях рекреационного использования территории;– обеспечения возможности устойчивого использования в рекреационных и экологопросветительских целях уникальных и ценных природных объектов и комплексов Воскресенского района.Обследование территории парка показало, что данная местность перспективна для развития рекреации, оздоровительного отдыха, туризма разных направлений: экологического, спортивного, этнографического и культурно-познавательного. Природный парк имеет удобное географическое расположение, находясь на пути следования междугородных маршрутов. Туристский поток достаточно велик, особенно в летнее время. Территория природного парка интересна своими ландшафтами и пейзажами. Здесь встречаются как хвойные, так и лиственные леса, есть грибные и ягодные угодья, богатые возможности для спортивной охоты и рыболовства (любительской рыбалки).Состояние лесных дорог позволяет развивать велосипедный и конный туризм. Территория природного парка благоприятна для водных сплавов – по реке Ветлуге проходят популярные байдарочные маршруты. Также территория природного парка предполагает развитие пешего туризма – рельеф местности позволяет прокладывать туристические маршруты разной сложности. В плане культурного показа исторические населенные пункты, старинные усадьбы и археологические объекты ценны для познавательного и этнографического туризма. Для размещения и отдыха дополнительно могут быть построены туристические гостиницы и базы отдыха. Возрождение местных ремесел и промыслов неразрывно связано с использованием местных обычаев, фольклорных и культурных традиций.На прилегающих к природному парку территориях сосредоточено большое количество разнообразных памятников истории и культуры, памятников природы, служащих (или могущих служить в перспективе) объектами туристического показа.Парк служит местом обитания ряда видов живых организмов, занесенных в Красную книгу нижегородской области (Ночница Брандта, ночница прудовая (вид внесен также в Красную книгу МСОП), ночница водяная, скопа (вид внесен также в Красную книгу РФ), серый журавль, серая цапля, гадюка обыкновенная, стокезия верналис, бурзария трункателла, спиростомум терес, тинтиннидиум флювиатиле ф. Цилиндрика., баранец обыкновенный, гроздовник многораздельный, сальвиния плавающая, лиственница сибирская, рдест Фриза, рдест длиннейший, осока струнокорневая, осока ситничковая, лосняк Лезеля (вид внесен также в Красную Книгу РФ), ива лапландская, ива черничная, печеночница благородная, росянка английская, подмаренник красильный).","Природный парк регионального (областного) значения ""Воскресенское Поветлужье""",56.7985,45.5223,1488
"Государственный природный комплексный заказник регионального (областного) значения ""Килемарский"""," Государственный природный комплексный заказник регионального (областного) значения ""Килемарский""",,"Государственный природный комплексный заказник регионального (областного) значения ""Килемарский""",56.9359,46.1781,1489
Участок елово-пихтового леса у д. Малое Содомово, Участок елово-пихтового леса у д. Малое Содомово,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 16 января 1987 года № 5. Паспорт утвержден этим же решением.Местоположение: от р.п. Воскресенское на северо-восток 27 км, от д. Малое Содомово на северо-запад 4 км.Площадь памятника природы: 22,0 га, площадь охранной зоны 149,8 га.Назначение: охрана генофонда (место обитания редких видов животных и произрастания редких видов растений); охрана ценофонда (типичные биоценозы южнотаежных темнохвойных лесов); научное (зоологическое, ботаническое); водоохранное (для р. Россомахи).Пользователи, владельцы и собственники земель: Воскресенское районное лесничество (Ижменское участковое лесничество).Этот памятник природы сохраняет совсем небольшой фрагмент вековых таежных лесов. Его уникальность – в необычайно высокой доле пихты сибирской в составе древостоя. Участки пихтовой тайги с дубравными элементами в нашей области можно увидеть, пожалуй, только здесь! Рядом со столетними пихтами стоят огромные ели, березы, осины, сосны, липы. Высота деревьев до 30 м, а толщина отдельных стволов до 80 см. На двадцатиметровой высоте – кроны пихт, елей, берез и лип помоложе образуют второй ярус. В подросте преобладают ель и пихта, встречаются липа, клен, береза и единичные дубки. Подлесок образуют рябина, крушина ломкая, малина, бересклет бородавчатый, жимолость лесная, лещина. В травостое – сложная смесь таежных и дубравных видов. На территории памятника природы отмечены баранец обыкновенный и трехпалый дятел, занесенные в Красную книгу Нижегородской области.",Участок елово-пихтового леса у д. Малое Содомово,57.0778,45.5769,1490
Болото Большое II - Пальники , Болото Большое II - Пальники,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 15 марта 1973 года № 313. Паспорт на памятник утвержден распоряжением Администрации Нижегородской области от 01 ноября 1995 года № 1469-р.Местоположение: от районного центра р.п. Воскресенское на юго-запад 34 км, от д. Орехи на юг 1,1 км, от с. Нестиары на юго-запад 2 км.Площадь памятника природы: 3540,3 га, площадь охранной зоны 2144,5 га.Назначение: охрана генофонда (место обитания редких видов животных и произрастания редких видов растений); охрана ценофонда (типичные биоценозы верховых, переходных и низинных болот); научное (зоологическое, ботаническое); водоохранное; ресурсоохранное (сохранение клюквенников и ресурсов охотфауны).Пользователи, владельцы и собственники земель: Воскресенское районное лесничество (Нестиарское и Елдежское участковые лесничества).Болото Большое II – Пальники входит в состав Камско-Бакалдинской группы – водно-болотного угодья международного значения в соответствии с Рамсарской конвенцией. Памятник природы – часть ключевой орнитологической территории всемирного значения. Он расположен в границах охранной зоны государственного природного биосферного заповедника «Керженский». Болото расположено в системе замкнутых котловин на водоразделе рек Керженец и Люнда в пределах водно-ледниковой равнины. Из западной части болота вытекают заповедные реки Большая и Малая Черная, из восточной – Боровушка, Средняя, Поломна, Быстрец. На северо-западной окраине болота располагается озеро Изъяр. Как и все крупные болота Камско-Бакалдинской группы, Большое II – Пальники отличается большим разнообразием видов торфяной залежи и фитоценозов, характерных для верховых, переходных и низинных болот. Большая часть болота пройдена пожарами в 1972 году. На этих участках сформировались вторичные сообщества. Представлены также сохранившиеся болотные экосистемы разных типов. На болоте большие площади занимают клюквенники. В северной части памятника природы расположено озеро Изъяр эолового происхождения, окруженное сфагновой сплавиной и широким кольцом низинного древесного болота. Памятник природы и его охранная зона служат местообитанием многих редких видов животных и растений, в том числе занесенных в Красную книгу России беркута, большого кроншнепа, серого сорокопута, пальчатокоренника Траунштейнера; занесенных в Красную книгу Нижегородской области серого журавля, мородунки, фифи, гадюки, шмеля мохового, клюквы мелкоплодной, рдеста длиннейшего, баранца обыкновенного, ив лапландской и черниковидной. Озеро Изъяр – одно из двух известных в нашей области мест естественного обитания медицинской пиявки.",Болото Большое II - Пальники ,56.5515,45.2323,1491
"Болото Ямное, Ягодное, Бутино"," Болото Ямное, Ягодное, Бутино","Организован: решением решением исполнительного комитета Горьковского областного Совета народных депутатов от 20 августа 1975 года № 545.Местоположение: Воскресенский и Семеновский районы, от районного центра р.п. Воскресенское на юго-запад 25 км, от д. Лобачи на юг 11 км, от д. Телки на восток 10 км, от д. Новоселье на северо-восток 8,5 км.Площадь памятника природы: 1363,3 га, площадь охранной зоны 1476,5 га.Назначение: охрана ценофонда (типичные биоценозы верховых и переходных болот); охрана генофонда (место обитания редких видов животных и растений); водоохранное (для реки Б. Ухтыш – притока р. Керженец); научное (зоологическое, ботаническое); ресурсоохранное (сохранение клюквенников, ресурсов охотфауны).Пользователи, владельцы и собственники земель: Воскресенское районное лесничество (Шурговашское и Елдежское участковые лесничества), Семеновское районное лесничество (Лобачевское участковое лесничество).Памятник природы представляет собой единый заболоченный массив на водоразделе рек Керженец и Ветлуга, имеет чрезвычайно важное водоохранное значение. Здесь берут начало р. Большой Ухтыш (приток Керженца) и ручьи – притоки малых рек бассейна Ветлуги. Памятник природы сохраняет в основном типичные биоценозы болот верхового и переходного типов. На окраинах болота представлены небольшие низинные участки. Этот болотный массив чрезвычайно богат клюквой, которая растет по всей его территории. Проективное покрытие клюквы на больших площадях достигает 20–30 %. На болоте встречаются осока малоцветковая, серый журавль, обыкновенная гадюка, занесенные в Красную книгу Нижегородской области. Памятник природы и его охранная зона служат местообитаниями охотничьих животных: лося, бобра, ондатры, тетерева, рябчика и др. ","Болото Ямное, Ягодное, Бутино",56.6971,45.0158,1492
Болото Светлое, Болото Светлое,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 20 августа 1975 года № 545.Местоположение: от районного центра р.п. Воскресенское на юг 32 км, от с. Нестиары на юго-восток 4 км, от с. Егорово на юго-запад 7 км, от д. Клюкино на юго-восток 6 км.Площадь памятника природы: 858,0 га.Назначение: охрана генофонда (место обитания редких видов животных и произрастания редких видов растений); охрана ценофонда (типичные биоценозы переходных и верховых болот); научное (зоологическое, ботаническое); водоохранное; ресурсоохранное (сохранение клюквенников и ресурсов охотфауны).Пользователи, владельцы и собственники земель: Воскресенское районное лесничество (Нестиарское участковое лесничество).Болото Светлое входит в Камско-Бакалдинскую группу болот. Оно составляет единый водно-болотный комплекс с озером Светлым. Болото верхового и переходного типов. На значительной части пройдено пожаром в 1972 г. В настоящее время сообщества восстанавливаются. На болоте много клюквы. На обочине дороги растет ликоподиелла заливаемая – маленький плаун, занесенный в Красную книгу Нижегородской области. Памятник природы служит местообитанием редких видов животных и растений. Здесь гнездятся большой кроншнеп (Красная книга России), серый журавль и фифи (Красная книга Нижегородской области). Здесь обычна гадюка, занесенная в областную Красную книгу.",Болото Светлое,56.5206,45.4754,1493
Парк с. Богородское, Парк с. Богородское,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 14 февраля 1984 года № 56.Местоположение: от районного центра р.п. Воскресенское на юго-восток 9 км, в с. Богородское.Памятник природы представляет собой старинный усадебный парк, место отдыха. Служит примером декоративно-плодового сада северных районов нашей области. В планировке переплетаются как хозяйственно-утилитарные участки (огород, фруктовые насаждения), так и участки прогулочного парка. Это аллеи в обсадке и вдоль бровки откоса, отсюда можно выйти на видовую площадку и полюбоваться рекой и заветлужскими далями. Наиболее старым деревьям парка свыше 250 лет. Сохранилась 300-летняя липа, диаметр ствола которой 100 см. В саду много клена, ясеня, боярышника, сирени, шиповника. Листья растущего здесь лоха серебристого фактурой и цветом напоминают серебро. Он хорошо укрепляет прибрежные склоны и наряду с сосной рекомендуется для облесения и закрепления оползневых участков.Площадь памятника природы: 12,0 га.Назначение: историческое; рекреационное.Пользователи, владельцы и собственники земель: Богородская сельская администрация.",Парк с. Богородское,56.7829,45.5243,1494
Озеро Светлое, Озеро Светлое,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 20 августа 1975 года № 545.Местоположение: от районного центра р.п. Воскресенское на юг 32 км, от с. Нестиары на юго-восток 4 км, от с. Егорово на юго-запад 7 км, от д. Клюкино на юго-восток 6 км.Площадь памятника природы: 53,0 га.Назначение: охрана генофонда (место обитания редких видов животных и произрастания редких видов растений); охрана ценофонда (типичные биоценозы эоловых озер); научное (зоологическое, ботаническое); водоохранное; ресурсоохранное (сохранение клюквенников и ресурсов охотфауны).Пользователи, владельцы и собственники земель: Воскресенское районное лесничество (Нестиарское участковое лесничество).Озеро Светлое – внутреннее озеро одноименного болота, самого северного в Камско-Бакалдинской группе болот, рамсарского водноболотного угодья. Это эоловое бессточное озеро округлой формы. Вода в нем очень чистая. Южный берег оз. Светлого песчаный, остальные берега преимущественно торфянистые, покрытые сфагновой сплавиной, ширина которой у северного берега доходит до 100 метров. На сплавине встречаются росянка английская и ива лапландская (Красная книга Нижегородской области).Широкую (до 200 метров) полосу мелководий вдоль берегов занимают сообщества кувшинки, кубышки и камыша озерного. В этом поясе на дне озера растут полушники озерный и колючеспорый, занесенные в Красную книгу России. В северной части озера на расстоянии около 50 м от берега есть остров округлой формы диаметром около 30 м с растущей на нем группой молодых берез. Здесь гнездится чернозобая гагара – северный вид, занесенный в Красную книгу России.",Озеро Светлое,56.5345,45.4778,1495
